"School","Type","lon","lat"
"Admiralty Primary School, Singapore","PRIMARY","103.8003087","1.4430452"
"Ahmad Ibrahim Primary School, Singapore","PRIMARY","103.8327825","1.4337349"
"Ai Tong School, Singapore","PRIMARY","103.8326038","1.3610364"
"Alexandra Primary School, Singapore","PRIMARY","103.8235297","1.2912968"
"Anchor Green Primary School, Singapore","PRIMARY","103.8874074","1.3909254"
"Anderson Primary School, Singapore","PRIMARY","103.841225","1.384692"
"Ang Mo Kio Primary School, Singapore","PRIMARY","103.839815","1.3693469"
"Anglo-Chinese School (Junior), Singapore","PRIMARY","103.8416385","1.3090345"
"Anglo-Chinese School (Primary), Singapore","PRIMARY","103.835858","1.3187562"
"Angsana Primary School, Singapore","PRIMARY","103.9516338","1.3488946"
"Beacon Primary School, Singapore","PRIMARY","103.77377","1.384235"
"Bedok Green Primary School, Singapore","PRIMARY","103.937779","1.3238817"
"Bendemeer Primary School, Singapore","PRIMARY","103.8650808","1.322193"
"Blangah Rise Primary School, Singapore","PRIMARY","103.8086755","1.2761957"
"Boon Lay Garden Primary School, Singapore","PRIMARY","103.712979","1.3434436"
"Bukit Panjang Primary School, Singapore","PRIMARY","103.7695266","1.3735964"
"Bukit Timah Primary School, Singapore","PRIMARY","103.766768","1.337385"
"Bukit View Primary School, Singapore","PRIMARY","103.75348","1.3459352"
"Canberra Primary School, Singapore","PRIMARY","103.8155405","1.450997"
"Canossa Catholic Primary School, Singapore","PRIMARY","103.8818876","1.3265573"
"Cantonment Primary School, Singapore","PRIMARY","103.8400024","1.2759498"
"Casuarina Primary School, Singapore","PRIMARY","103.9570205","1.3725006"
"Cedar Primary School, Singapore","PRIMARY","103.8754605","1.3356131"
"Changkat Primary School, Singapore","PRIMARY","103.952168","1.3405005"
"CHIJ (Katong) Primary, Singapore","PRIMARY","103.9109552","1.3064102"
"CHIJ (Kellock), Singapore","PRIMARY","103.8279734","1.2749325"
"CHIJ Our Lady Of Good Counsel, Singapore","PRIMARY","103.8637879","1.3574239"
"CHIJ Our Lady Of The Nativity, Singapore","PRIMARY","103.897543","1.3735318"
"CHIJ Our Lady Queen Of Peace, Singapore","PRIMARY","103.7675404","1.3666563"
"CHIJ Primary (Toa Payoh), Singapore","PRIMARY","103.8423106","1.3328881"
"Chongfu School, Singapore","PRIMARY","103.8394566","1.4386472"
"Chongzheng Primary School, Singapore","PRIMARY","103.9512472","1.3508639"
"Chua Chu Kang Primary School, Singapore","PRIMARY","103.7423121","1.3778193"
"Clementi Primary School, Singapore","PRIMARY","103.7633301","1.315275"
"Compassvale Primary School, Singapore","PRIMARY","103.8979656","1.3947733"
"Concord Primary School, Singapore","PRIMARY","103.7363383","1.380347"
"Corporation Primary School, Singapore","PRIMARY","103.7077026","1.3508058"
"Damai Primary School, Singapore","PRIMARY","103.9211476","1.3356727"
"Dazhong Primary School, Singapore","PRIMARY","103.7480154","1.3593772"
"De La Salle School, Singapore","PRIMARY","103.7433723","1.3950704"
"East Spring Primary School, Singapore","PRIMARY","103.9617985","1.353454"
"Edgefield Primary School, Singapore","PRIMARY","103.9076926","1.4004367"
"Elias Park Primary School, Singapore","PRIMARY","103.9452385","1.3749538"
"Endeavour Primary School, Singapore","PRIMARY","103.8171781","1.4545646"
