"School","Type","lon","lat"
"Admiralty Secondary School, Singapore","SECONDARY","103.8026082","1.4462673"
"Ahmad Ibrahim Secondary School, Singapore","SECONDARY","103.8299804","1.4364306"
"Anderson Secondary School, Singapore","SECONDARY","103.851382","1.3747299"
"Ang Mo Kio Secondary School, Singapore","SECONDARY","103.8426","1.367353"
"Anglican High School, Singapore","SECONDARY","103.9416359","1.3307761"
"Anglo-Chinese School (Barker Road), Singapore","SECONDARY","103.8357896","1.3196616"
"Anglo-Chinese School (Independent), Singapore","SECONDARY","103.7806141","1.3025291"
"Assumption English School, Singapore","SECONDARY","103.7661047","1.3681024"
"Assumption Pathway School, Singapore","SECONDARY","103.766509","1.3705442"
"Bartley Secondary School, Singapore","SECONDARY","103.8828396","1.3402886"
"Beatty Secondary School, Singapore","SECONDARY","103.851956","1.34154"
"Bedok Green Secondary School, Singapore","SECONDARY","103.935336","1.3341416"
"Bedok South Secondary School, Singapore","SECONDARY","103.9506551","1.3261765"
"Bedok View Secondary School, Singapore","SECONDARY","103.9438629","1.3246274"
"Bendemeer Secondary School, Singapore","SECONDARY","103.8606227","1.3245503"
"Boon Lay Secondary School, Singapore","SECONDARY","103.7018871","1.3433488"
"Bowen Secondary School, Singapore","SECONDARY","103.877974","1.371165"
"Broadrick Secondary School, Singapore","SECONDARY","103.8872129","1.3072755"
"Bukit Batok Secondary School, Singapore","SECONDARY","103.7401883","1.3484677"
"Bukit Merah Secondary School, Singapore","SECONDARY","103.813113","1.2858957"
"Bukit Panjang Govt. High School, Singapore","SECONDARY","103.7385804","1.3818716"
"Bukit View Secondary School, Singapore","SECONDARY","103.752164","1.3460903"
"Canberra Secondary School, Singapore","SECONDARY","103.8144127","1.4536632"
"Catholic High School, Singapore","SECONDARY","103.8451234","1.3546049"
"Cedar Girls' Secondary School, Singapore","SECONDARY","103.8741655","1.3342746"
"Changkat Changi Secondary School, Singapore","SECONDARY","103.9528325","1.3410275"
"CHIJ Katong Convent, Singapore","SECONDARY","103.9173898","1.3065932"
"CHIJ Secondary (Toa Payoh), Singapore","SECONDARY","103.8432942","1.332431"
"CHIJ St. Joseph's Convent, Singapore","SECONDARY","103.902461","1.391747"
"CHIJ St. Nicholas Girls' School, Singapore","SECONDARY","103.8341703","1.3740310"
"CHIJ St. Theresa's Convent, Singapore","SECONDARY","103.8218559","1.2754058"
"Christ Church Secondary School, Singapore","SECONDARY","103.7934218","1.4263994"
"Chua Chu Kang Secondary School, Singapore","SECONDARY","103.7515449","1.3834832"
"Chung Cheng High School (Main), Singapore","SECONDARY","103.8915495","1.3054121"
"Chung Cheng High School (Yishun), Singapore","SECONDARY","103.837311","1.418737"
"Clementi Town Secondary School, Singapore","SECONDARY","103.7622755","1.3154596"
"Commonwealth Secondary School, Singapore","SECONDARY","103.7455955","1.3189509"
"Compassvale Secondary School, Singapore","SECONDARY","103.899711","1.396086"
"Crescent Girls' School, Singapore","SECONDARY","103.8168823","1.2940214"
"Crest Secondary School, Singapore","SECONDARY","103.7428639","1.3436637"
"Damai Secondary School, Singapore","SECONDARY","103.927061","1.336405"
"Deyi Secondary School, Singapore","SECONDARY","103.8526888","1.366291"
"Dunearn Secondary School, Singapore","SECONDARY","103.7445869","1.363167"
"Dunman High School, Singapore","SECONDARY","103.882239","1.2991302"
"Dunman Secondary School, Singapore","SECONDARY","103.9559258","1.3610555"
"East Spring Secondary School, Singapore","SECONDARY","103.9607517","1.3568208"
"Edgefield Secondary School, Singapore","SECONDARY","103.9021546","1.4002914"
"Evergreen Secondary School, Singapore","SECONDARY","103.7936114","1.4415383"
"Fairfield Methodist School (Secondary), Singapore","SECONDARY","103.7844805","1.3017827"
"Fajar Secondary School, Singapore","SECONDARY","103.7645411","1.3755092"
"Fuchun Secondary School, Singapore","SECONDARY","103.7769467","1.4302916"
"Fuhua Secondary School, Singapore","SECONDARY","103.7265636","1.347278"
"Gan Eng Seng School, Singapore","SECONDARY","103.8237338","1.2893316"
"Geylang Methodist School (Secondary), Singapore","SECONDARY","103.8826824","1.3176883"
"Greendale Secondary School, Singapore","SECONDARY","103.9118624","1.3974271"
"Greenridge Secondary School, Singapore","SECONDARY","103.7738085","1.3820599"
"Guangyang Secondary School, Singapore","SECONDARY","103.850566","1.344693"
"Hai Sing Catholic School, Singapore","SECONDARY","103.9551952","1.3745291"
"Hillgrove Secondary School, Singapore","SECONDARY","103.752918","1.3526983"
"Holy Innocents' High School, Singapore","SECONDARY","103.896016","1.3711481"
"Hougang Secondary School, Singapore","SECONDARY","103.8823967","1.3775817"
"Hua Yi Secondary School, Singapore","SECONDARY","103.7216378","1.3527239"
"Hwa Chong Institution, Singapore","SECONDARY","103.8027713","1.3265473"
"Junyuan Secondary School, Singapore","SECONDARY","103.9335232","1.3533278"
"Jurong Secondary School, Singapore","SECONDARY","103.724282","1.330365"
"Jurong West Secondary School, Singapore","SECONDARY","103.7016785","1.3358625"
"Jurongville Secondary School, Singapore","SECONDARY","103.7291022","1.3516392"
"Juying Secondary School, Singapore","SECONDARY","103.6871958","1.3395385"
"Kent Ridge Secondary School, Singapore","SECONDARY","103.7649426","1.3013766"
"Kranji Secondary School, Singapore","SECONDARY","103.7415227","1.3906192"
"Kuo Chuan Presbyterian Secondary School, Singapore","SECONDARY","103.8549747","1.3497798"
"Loyang View Secondary School, Singapore","SECONDARY","103.9568413","1.3668644"
"Manjusri Secondary School, Singapore","SECONDARY","103.9013217","1.3275139"
"Maris Stella High School, Singapore","SECONDARY","103.8782839","1.341737"
"Marsiling Secondary School, Singapore","SECONDARY","103.7763303","1.4381054"
"Mayflower Secondary School, Singapore","SECONDARY","103.8352119","1.3686252"
"Meridian Secondary School, Singapore","SECONDARY","103.9492665","1.3675302"
"Methodist Girls' School (Secondary), Singapore","SECONDARY","103.7831944","1.3330778"
"Montfort Secondary School, Singapore","SECONDARY","103.888829","1.374084"
"Nan Chiau High School, Singapore","SECONDARY","103.8899829","1.3893933"
"Nan Hua High School, Singapore","SECONDARY","103.7689246","1.3083739"
"Nanyang Girls' High School, Singapore","SECONDARY","103.8023725","1.3306207"
"National Junior College, Singapore","SECONDARY","103.8045","1.330476"
"Naval Base Secondary School, Singapore","SECONDARY","103.830682","1.4189335"
"New Town Secondary School, Singapore","SECONDARY","103.7731811","1.3100184"
