"School","Type","lon","lat"
"Anderson Serangoon Junior College, Singapore","TERTIARY","103.8455069","1.3788363"
"Anglo-Chinese Junior College, Singapore","TERTIARY","103.785109","1.3031354"
"Catholic Junior College, Singapore","TERTIARY","103.8339675","1.3256673"
"Eunoia Junior College, Singapore","TERTIARY","103.8394527","1.3626165"
"Jurong Pioneer Junior College, Singapore","TERTIARY","103.753951","1.384627"
"Millennia Institute, Singapore","TERTIARY","103.7408109","1.3507031"
"Nanyang Junior College, Singapore","TERTIARY","103.8666765","1.3514162"
"St. Andrew's Junior College, Singapore","TERTIARY","103.8631747","1.3332507"
"Tampines Meridian Junior College, Singapore","TERTIARY","103.9372656","1.3766538"
"Victoria Junior College, Singapore","TERTIARY","103.9193881","1.3062353"
"Yishun Innova Junior College, Singapore","TERTIARY","103.8311055","1.4252209"
"Dunman High School, Singapore","TERTIARY","103.882239","1.2991302"
"Hwa Chong Institution, Singapore","TERTIARY","103.8027713","1.3265473"
"Maris Stella High School, Singapore","TERTIARY","103.8782839","1.341737"
"National Junior College, Singapore","TERTIARY","103.8045","1.330476"
"Nus High School Of Mathematics And Science, Singapore","TERTIARY","103.7693914","1.3071072"
"Raffles Institution, Singapore","TERTIARY","103.8434229","1.3466753"
"River Valley High School, Singapore","TERTIARY","103.709695","1.3431764"
"School Of The Arts, Singapore, Singapore","TERTIARY","103.8486967","1.2993871"
"Singapore Sports School, Singapore","TERTIARY","103.789056","1.426703"
"St. Joseph's Institution, Singapore","TERTIARY","103.828591","1.322914"
"Temasek Junior College, Singapore","TERTIARY","103.9355346","1.3186051"
"ITE College Central, Singapore","TERTIARY","103.856563","1.3774718"
"ITE College East, Singapore","TERTIARY","103.9548529","1.33457"
"ITE College West, Singapore","TERTIARY","103.7521948","1.3755678"
"Singapore Polytechnic, Singapore","TERTIARY","103.7775495","1.3097757"
"Ngee Ann Polytechnic, Singapore","TERTIARY","103.7743581","1.332064"
"Temasek Polytechnic, Singapore","TERTIARY","103.9318122","1.3451847"
"Nanyang Polytechnic, Singapore","TERTIARY","103.8489487","1.37995"
"Republic Polytechnic, Singapore","TERTIARY","103.7852455","1.4432159"
