"","towns","lon","lat"
"1","ANG MO KIO Singapore",103.8454342,1.3691149
"2","BEDOK Singapore",103.9273405,1.3236038
"3","BISHAN Singapore",103.8352116,1.3525845
"4","BUKIT BATOK Singapore",103.7636796,1.3590288
"5","BUKIT MERAH Singapore",103.8239182,1.2819046
"6","BUKIT PANJANG Singapore",103.7719498,1.3774142
"7","BUKIT TIMAH Singapore",103.8020777,1.3294113
"8","CENTRAL AREA Singapore",103.8536113,1.2789227
"9","CHOA CHU KANG Singapore",103.7469611,1.3839803
"10","CLEMENTI Singapore",103.7649377,1.3161811
"11","GEYLANG Singapore",103.8917746,1.3200544
"12","HOUGANG Singapore",103.8862529,1.3612182
"13","JURONG EAST Singapore",103.7435522,1.3328572
"14","JURONG WEST Singapore",103.7089875,1.3403898
"15","KALLANG Singapore",103.8651056,1.3100334
"16","MARINE PARADE Singapore",103.8970821,1.3019687
"17","PASIR RIS Singapore",103.9473728,1.3720937
"18","PUNGGOL Singapore",103.9072046,1.3984457
"19","QUEENSTOWN Singapore",103.7861271,1.2941664
"20","SEMBAWANG Singapore",103.8184954,1.4491107
"21","SENGKANG Singapore",103.8914433,1.3868121
"22","SERANGOON Singapore",103.8678708,1.3553567
"23","TAMPINES Singapore",103.9567879,1.3495907
"24","TOA PAYOH Singapore",103.8563265,1.3343035
"25","WOODLANDS Singapore",103.7889597,1.4381922
"26","YISHUN Singapore",103.8353628,1.430368
