"","unique_address","latis","structure","lon","lat"
"1","142 LOR 2 TOA PAYOH Singapore",1,8691,103.8450399,1.3357229
"2","121 LOR 2 TOA PAYOH Singapore",2,8690,103.8461722,1.3391936
"3","154 LOR 2 TOA PAYOH Singapore",3,8689,103.8461676,1.3333428
"4","145 LOR 2 TOA PAYOH Singapore",4,8688,103.8461205,1.3352801
"5","84A LOR 2 TOA PAYOH Singapore",5,8687,103.8468972,1.3353816
"6","60 LOR 4 TOA PAYOH Singapore",6,8686,103.8506971,1.3363887
"7","193 LOR 4 TOA PAYOH Singapore",7,8685,103.8512911,1.3323062
"8","14B LOR 7 TOA PAYOH Singapore",8,8684,103.8583599,1.3357243
"9","10B LOR 7 TOA PAYOH Singapore",9,8683,103.8583157,1.3372225
"10","220 LOR 8 TOA PAYOH Singapore",10,8682,103.8564312,1.3426302
"11","226 LOR 8 TOA PAYOH Singapore",11,8681,103.8569953,1.3394638
"12","118 POTONG PASIR AVE 1 Singapore",12,8680,103.8626434,1.3355355
"13","122 POTONG PASIR AVE 1 Singapore",13,8679,103.8662833,1.335125
"14","113 POTONG PASIR AVE 1 Singapore",14,8678,103.863436,1.3362015
"15","145 POTONG PASIR AVE 2 Singapore",15,8677,103.8660583,1.3323852
"16","79B TOA PAYOH CTRL Singapore",16,8676,103.8479877,1.3347825
"17","79C TOA PAYOH CTRL Singapore",17,8675,103.848924,1.33436
"18","79A TOA PAYOH CTRL Singapore",18,8674,103.84777,1.3347803
"19","200 TOA PAYOH NTH Singapore",19,8673,103.8511091,1.3413981
"20","202 TOA PAYOH NTH Singapore",20,8672,103.8495918,1.3414983
"21","138B LOR 1A TOA PAYOH Singapore",21,8671,103.845598,1.3363719
"22","139B LOR 1A TOA PAYOH Singapore",22,8670,103.8439529,1.336754
"23","139A LOR 1A TOA PAYOH Singapore",23,8669,103.8439085,1.3363236
"24","62 LOR 4 TOA PAYOH Singapore",24,8668,103.8514672,1.3362748
"25","218 LOR 8 TOA PAYOH Singapore",25,8667,103.8551856,1.3427656
"26","223 LOR 8 TOA PAYOH Singapore",26,8666,103.8555498,1.3413048
"27","229 LOR 8 TOA PAYOH Singapore",27,8665,103.8591683,1.3387228
"28","143 POTONG PASIR AVE 2 Singapore",28,8664,103.8657865,1.3328263
"29","99C LOR 2 TOA PAYOH Singapore",29,8663,103.8475178,1.3390399
"30","217 MARSILING CRES Singapore",30,8662,103.7726658,1.4467942
"31","2 MARSILING DR Singapore",31,8661,103.7765762,1.4399313
"32","22 MARSILING DR Singapore",32,8660,103.774277,1.442659
"33","12 MARSILING LANE Singapore",33,8659,103.7784392,1.4411312
"34","570B WOODLANDS AVE 1 Singapore",34,8658,103.7908663,1.4308239
"35","571C WOODLANDS AVE 1 Singapore",35,8657,103.789926,1.43037
"36","887B WOODLANDS DR 50 Singapore",36,8656,103.7942662,1.4378075
"37","887C WOODLANDS DR 50 Singapore",37,8655,103.7944967,1.4370133
"38","161 WOODLANDS ST 13 Singapore",38,8654,103.773679,1.4333428
