"Mall","lon","lat"
"100 AM, Singapore",103.8435656,1.2750063
"313@Somerset, Singapore",103.8383582,1.3008856
"Aperia, Singapore",103.8642941,1.3104579
"Balestier Hill Shopping Centre, Singapore",103.8432012,1.3259031
"Bugis Cube, Singapore",103.8556572,1.2981918
"Bugis Junction, Singapore",103.8555556,1.2988889
"Bugis+, Singapore",103.854893,1.300599
"Capitol Piazza, Singapore",103.8512859,1.2930784
"Cathay Cineleisure Orchard, Singapore",103.836414,1.3015948
"Clarke Quay Central, Singapore",103.8466098,1.2890252
"The Centrepoint, Singapore",103.839761,1.3021165
"City Square Mall, Singapore",103.8566675,1.3111877
"City Gate Mall, Singapore",103.8622714,1.3022965
"CityLink Mall, Singapore",103.8551998,1.2913085
"Duo, Singapore",103.8580647,1.2990692
"Far East Plaza, Singapore",103.8337094,1.3071731
"Funan, Singapore",103.8500832,1.291321
"Great World City, Singapore",103.8319293,1.2936417
"HDB Hub, Singapore",103.8480517,1.3323801
"Holland Village Shopping Mall, Singapore",103.7954048,1.3104547
"ION Orchard, Singapore",103.8319701,1.3039937
"Junction 8, Singapore",103.8487631,1.3506808
"Knightsbridge[1], Singapore",103.8361853,1.3030644
"Liang Court, Singapore",103.8446774,1.2913794
"Liat Towers, Singapore",103.8305905,1.3051925
"Lucky Plaza, Singapore",103.8339449,1.3045456
"Marina Bay Sands, Singapore",103.8578751,1.2830096
"The Shoppes at Marina Bay Sands, Singapore",103.8596113,1.2838167
"Marina Bay Financial Centre Tower 3, Singapore",103.8544967,1.2790221
"Marina Bay Link Mall, Singapore",103.8543357,1.2796098
"Marina One, Singapore",103.8531473,1.2776331
"Marina Square, Singapore",103.8574684,1.2914263
"Millenia Walk, Singapore",103.8598344,1.2928181
"Mustafa Shopping Centre, Singapore",103.8556006,1.3098393
"Ngee Ann City, Singapore",103.834568,1.3025572
"Orchard Central, Singapore",103.8398658,1.3006242
"Orchard Gateway, Singapore",103.8389111,1.3009584
"Orchard Plaza, Singapore",103.8380766,1.301674
"Midpoint Orchard, Singapore",103.8386083,1.3015694
"Orchard Shopping Centre, Singapore",103.8319701,1.3039937
"Palais Renaissance, Singapore",103.829583,1.3067391
"People's Park Centre, Singapore",103.8438927,1.2858386
"People's Park Complex, Singapore",103.8425488,1.2841977
"Plaza Singapura, Singapore",103.8452356,1.3005317
"PoMo, Singapore",103.84922,1.3001917
"Raffles City, Singapore",103.8534331,1.2937585
"Scotts Square, Singapore",103.8329554,1.3058788
"Serangoon Plaza, Singapore",103.8552309,1.3108938
"Shaw House and Centre, Singapore",103.8318472,1.3062932
"Sim Lim Square, Singapore",103.8529208,1.3030433
"Singapore Shopping Centre, Singapore",103.8441599,1.2980956
"The South Beach, Singapore",103.8557929,1.2944688
"Square 2, Singapore",103.8441474,1.3208322
"Suntec City, Singapore",103.8583026,1.29503
"Tanglin Mall, Singapore",103.8238701,1.3050606
"Tangs, Singapore",103.8329225,1.3047955
"Tanjong Pagar Centre, Singapore",103.8457765,1.2769938
"Tekka Centre, Singapore",103.850654,1.306251
"The Paragon, Singapore",103.8357982,1.3038699
"The Poiz Centre, Singapore",103.8681859,1.3312349
"Thomson Plaza, Singapore",103.8309866,1.3546824
"United Square, The Kids Learning Mall, Singapore",103.8436682,1.3172768
"Velocity, Singapore",103.8439452,1.3198822
"Wheelock Place, Singapore",103.8307546,1.3046048
"Wisma Atria, Singapore",103.8330524,1.303841
"Zhongshan Mall, Singapore",103.8464843,1.327052
"White Sands, Singapore",-105.9634602,32.9297113
"Downtown East, Singapore",103.9546233,1.3776279
"Century Square, Singapore",103.9438567,1.3523888
"Tampines 1, Singapore",103.9450352,1.354212
"Tampines Mall, Singapore",103.944707,1.3524854
"Our Tampines Hub, Singapore",103.9402858,1.3528992
"Changi Airport, Singapore",103.9915308,1.3644202
"Changi City Point, Singapore",103.9623868,1.334638
"Djitsun Mall Bedok, Singapore",103.9294958,1.3262627
"Eastpoint Mall, Singapore",103.9530415,1.3427145
"Bedok Mall, Singapore",103.9296683,1.3245781
"Bedok Point, Singapore",103.9323811,1.3249305
"Paya Lebar Square, Singapore",103.8925678,1.3187541
"Singapore Post Centre, Singapore",103.8945354,1.3189121
"PLQ Mall, Singapore",103.8937009,1.3181032
"KINEX (formerly One KM Mall), Singapore",103.8947554,1.3147221
"112 Katong, Singapore",103.905,1.305
