MRT,lon,lat
"Jurong East MRT, Singapore",103.7420909,1.3331306
"Bukit Batok MRT, Singapore",103.7499681,1.3495382
"Bukit Gombak MRT, Singapore",103.7499681,1.3495382
"Choa Chu Kang MRT, Singapore",103.7443409,1.3853617
"Yew Tee MRT, Singapore",103.7475018,1.3973289
"Kranji MRT, Singapore",103.7620278,1.4252268
"Marsiling MRT, Singapore",103.7741607,1.4325578
"Woodlands MRT, Singapore",103.786555,1.436962
"Admiralty MRT, Singapore",103.800966,1.4406049
"Sembawang MRT, Singapore",103.820049,1.44909
"Canberra MRT, Singapore",103.829572,1.4432289
"Yishun MRT, Singapore",103.835005,1.4294431
"Khatib MRT, Singapore",103.8329731,1.4173483
"Yio Chu Kang MRT, Singapore",103.844934,1.3817217
"Ang Mo Kio MRT, Singapore",103.8495876,1.3699718
"Bishan MRT, Singapore",103.8481737,1.3508449
"Braddell MRT, Singapore",103.8470762,1.3405397
"Toa Payoh MRT, Singapore",103.8474252,1.3323297
"Novena MRT, Singapore",103.8433833,1.3200248
"Newton MRT, Singapore",103.8380316,1.3137871
"Orchard MRT, Singapore",103.8317667,1.3040026
"Somerset MRT, Singapore",103.8384389,1.3004441
"Dhoby Ghaut MRT, Singapore",103.8457886,1.2990936
"City Hall MRT, Singapore",103.8520677,1.293076
"Raffles Place MRT, Singapore",103.8515395,1.2839687
"Marina Bay MRT, Singapore",103.8545978,1.2764274
"Marina South Pier MRT, Singapore",103.863631,1.2714087
"Pasir Ris MRT, Singapore",103.9493534,1.3731912
"Tampines MRT, Singapore",103.9432925,1.3544129
"Simei MRT, Singapore",103.9533534,1.3431616
"Tanah Merah MRT, Singapore",103.9464897,1.3272444
"Bedok MRT, Singapore",103.9301725,1.3240113
"Kembangan MRT, Singapore",103.9129039,1.3209998
"Eunos MRT, Singapore",103.9028883,1.3197342
"Paya Lebar MRT, Singapore",103.8931436,1.3181607
"Aljunied MRT, Singapore",103.8828099,1.3164178
"Kallang MRT, Singapore",103.8713507,1.3114784
"Lavender MRT, Singapore",103.862848,1.3074261
"Bugis MRT, Singapore",103.8558613,1.3006614
"Tanjong Pagar MRT, Singapore",103.8467924,1.2763419
"Outram Park MRT, Singapore",103.840302,1.280276
